%DataLog%
DataLogVersion : 1.0
Software : ECU Manager
SoftwareVersion : 1.1.14.0
DownloadDateTime : 20180730 08:13:55
Channel : AFRDifference
Type : AFR
DisplayMaxMin : 150,-150
Channel : BatteryVoltage
Type : BatteryVoltage
DisplayMaxMin : 16000,8000
Channel : EngineRunningTime
Type : Time_s
DisplayMaxMin : 10000,0
Channel : IgnitionTiming
Type : Angle
DisplayMaxMin : 600,-200
Channel : CurrentDutyCycle
Type : Percentage
DisplayMaxMin : 1000,0
Channel : Load
Type : Pressure
DisplayMaxMin : 1013,13
Channel : IgnitionLoad
Type : Pressure
DisplayMaxMin : 1013,13
Channel : ShiftLight1
Type : Raw
DisplayMaxMin : 1,0
Channel : AirTemp
Type : Temperature
DisplayMaxMin : 4231,2331
Channel : CoolantTemp
Type : Temperature
DisplayMaxMin : 4231,2331
Channel : MAPSource
Type : Pressure
DisplayMaxMin : 1013,13
Channel : LambdaSensor1
Type : AFR
DisplayMaxMin : 2000,200
Channel : ThrottlePosition
Type : Percentage
DisplayMaxMin : 1000,0
Channel : BaseFuel
Type : Percentage
DisplayMaxMin : 2000,0
Channel : BaseIgnition
Type : AngleIgnSprt2K
DisplayMaxMin : 800,0
Channel : TargetAFR
Type : AFR
DisplayMaxMin : 2000,200
Channel : FuelAirTempCorrection
Type : Percentage
DisplayMaxMin : 500,-500
Channel : FuelCoolantTempCorrection
Type : Percentage1For1
DisplayMaxMin : 250,-100
Channel : IgnitionCoolantTempCorrection
Type : AngleOffset10deg
DisplayMaxMin : 200,-200
Channel : IgnitionAirTempCorrection
Type : Angle
DisplayMaxMin : 100,-100
Channel : RPM
Type : EngineSpeed
DisplayMaxMin : 10000,0
Channel : TransientThrottleAccelCoolantCorr
Type : Percentage
DisplayMaxMin : 3000,0
Channel : TransientThrottleEnrichSensitivity
Type : Time_us
DisplayMaxMin : 9500,0
Channel : TransientThrottleEnrichDecayRate
Type : msPerEngCyl
DisplayMaxMin : 1000,0
Channel : TransientThrottlePercentageAsync
Type : Percentage
DisplayMaxMin : 1000,0
Channel : TransientThrottlePercentageEnrich
Type : Percentage
DisplayMaxMin : 1000,0
Log : 20180730 07:22:32
07:22:32.000,59,13028,98,253,24,439,439,0,3006,3197,438,0,0,367,0,1000,0,0,0,0,967,0,0,0,0,0
07:22:32.031,61,13012,,257,,436,436,,,,437,,,363,,,,,,,944,,,,,
07:22:32.094,64,13012,,257,24,436,436,,,,436,936,,362,320,,,,187,50,944,334,2750,332,800,
07:22:32.140,,,,,,,,,,,,,,360,321,,,,,,,,,,,
07:22:32.156,61,13043,,258,23,434,434,,,3197,434,939,,,,,,,,,943,,,,,
07:22:32.234,68,13043,,256,24,437,437,,,3198,437,932,,363,319,,,,,,944,,,,,
07:22:32.297,70,13012,,,,435,435,,,3198,436,930,0,361,,,,,,,922,334,,332,,
07:22:32.375,68,13075,,256,24,437,437,,,3197,437,932,1,363,319,,,,,,942,333,,334,,
07:22:32.453,73,13059,,258,23,438,438,,,3198,440,927,0,364,321,,,,,,924,,,,,
07:22:32.515,66,13090,,258,,439,439,,,3197,439,934,,364,321,,,,,,923,,2750,,,
07:22:32.578,,13075,,259,23,440,440,,,3198,439,,,365,322,,,,,,913,,2743,,,
07:22:32.640,66,13075,,255,24,443,443,,,,441,934,,370,318,,,,,,937,,2750,,,
07:22:32.719,71,13043,,256,,443,443,,,,443,929,,370,319,,,,,,927,,2743,,,
07:22:32.765,72,13090,,256,24,441,441,,,,442,928,,367,319,,,,,,932,,2743,,,
07:22:32.828,72,13012,98,258,23,442,442,,,,440,928,,367,321,,,,,,911,,2750,,,
07:22:32.890,71,13012,99,256,24,446,446,,,,446,929,,372,319,,,,,,920,,2743,,,
07:22:32.953,72,13043,,255,,446,446,,,,446,928,,373,318,,,,,,929,,2750,,,
07:22:33.015,67,13090,,255,24,443,443,,,,443,933,,370,318,,,,,,935,333,,334,,
07:22:33.094,64,13028,,257,23,440,440,,,,440,936,,366,320,,,,,,927,332,,336,,
07:22:33.140,68,13012,,255,24,442,442,,,,441,932,0,368,318,,,,,,939,333,2750,334,,
07:22:33.234,70,13043,,254,,442,442,,,3198,,930,1,369,317,,,,,,944,332,2743,336,,
07:22:33.297,66,13090,,254,,441,441,,,3199,441,934,1,368,317,,,,,,950,333,,334,,
