%DataLog%
Filename: LONG_DRIVE_BMW_M3_S58.csv
Vehicle ID: BMW-M3-G80-S58
Logger: Bootmod3 v2.5.1
--------------------------------------------------
Timestamp [s],(RAM) Engine Speed [1/min],Accel. Pedal [%],Throttle Angle [%],Boost (Pre-Throttle) [psig],(RAM) Boost Pressure (Target) [psig],Lambda Act. [AFR],Mass Air Flow [g/s],Ignition Timing [deg],Ignition Timing Corr. Cyl 3 [deg],HPFP Act. [psig],LPFP Act. (Raw) [psig],WGDC (Actual) [%],Oil Temp [deg C],Coolant Temp [deg C],Vehicle Speed [mph],Gear [-],STFT [%],Battery Voltage [V]
0.0,1170.0,0.0,12.0,-7.0,24.5,14.7,10.79,30.6,0.0,1205.0,71.0,8.4,50.0,60.0,0.0,1,0.0,13.74
0.1,1160.0,0.0,12.0,-7.0,24.5,14.72,5.67,30.6,0.0,1230.0,71.0,8.4,50.0,60.0,0.0,1,-0.2,13.74
0.2,1190.0,0.0,12.0,-7.0,24.5,14.74,13.58,30.6,0.0,1185.0,71.0,8.4,50.1,60.0,0.0,1,-0.39,13.74
0.3,1190.0,0.0,12.0,-7.0,24.5,14.76,12.38,30.6,0.0,1213.0,71.0,8.4,50.1,60.1,0.0,1,-0.56,13.74
0.4,1220.0,0.0,12.0,-7.0,24.5,14.77,7.45,30.6,0.0,1228.0,71.0,8.4,50.1,60.1,0.0,1,-0.72,13.74
0.5,1200.0,0.0,12.0,-7.0,24.5,14.78,9.82,30.6,0.0,1187.0,71.0,8.4,50.1,60.1,0.0,1,-0.84,13.74
0.6,1190.0,0.0,12.0,-7.0,24.5,14.79,9.54,30.6,0.0,1199.0,71.0,8.4,50.2,60.1,0.0,1,-0.93,13.74
0.7,1180.0,0.0,12.0,-7.0,24.5,14.8,13.36,30.6,0.0,1201.0,71.0,8.4,50.2,60.1,0.0,1,-0.99,13.74
0.8,1180.0,0.0,12.0,-7.0,24.5,14.8,3.28,30.6,0.0,1207.0,71.0,8.4,50.2,60.1,0.0,1,-1.0,13.74
0.9,1210.0,0.0,12.0,-7.0,24.5,14.8,9.68,30.6,0.0,1176.0,71.0,8.4,50.2,60.2,0.0,1,-0.97,13.74
1.001,1190.0,0.0,12.0,-7.0,24.5,14.79,7.56,30.6,0.0,1175.0,71.0,8.4,50.3,60.2,0.0,1,-0.91,13.74
1.101,1180.0,0.0,12.0,-7.0,24.5,14.78,8.49,30.6,0.0,1171.0,71.0,8.4,50.3,60.2,0.0,1,-0.81,13.74
1.201,1210.0,0.0,12.0,-7.0,24.5,14.77,9.04,30.6,0.0,1203.0,71.0,8.4,50.3,60.2,0.0,1,-0.68,13.74
1.301,1180.0,0.0,12.0,-7.0,24.5,14.75,5.09,30.6,0.0,1180.0,71.0,8.4,50.4,60.2,0.0,1,-0.52,13.74
1.401,1190.0,0.0,12.0,-7.0,24.5,14.73,10.51,30.6,0.0,1192.0,71.0,8.4,50.4,60.2,0.0,1,-0.33,13.74
1.501,1180.0,0.0,12.0,-7.0,24.5,14.71,10.15,30.6,0.0,1159.0,71.0,8.4,50.4,60.3,0.0,1,-0.14,13.74
1.601,1200.0,0.0,12.0,-7.0,24.5,14.69,10.95,30.6,0.0,1214.0,71.0,8.4,50.4,60.3,0.0,1,0.06,13.74
1.701,1200.0,0.0,12.0,-7.0,24.5,14.67,6.26,30.6,0.0,1232.0,71.0,8.4,50.5,60.3,0.0,1,0.26,13.74
1.801,1170.0,0.0,12.0,-7.0,24.5,14.66,12.37,30.6,0.0,1192.0,71.0,8.4,50.5,60.3,0.0,1,0.44,13.74
1.901,1220.0,0.0,12.0,-7.0,24.5,14.64,8.28,30.6,0.0,1217.0,71.0,8.4,50.5,60.3,0.0,1,0.61,13.74
