%DataLog%
Filename: SIM_01_Stage2_Clean_Pull.csv
Vehicle ID: SIM-TUNER-01
ECU Strategy: Stage-X-V2.4
--------------------------------------------------
Timestamp (s),Engine RPM,Throttle Position (%),Accelerator Pedal (%),Manifold Absolute Pressure (psi),Mass Air Flow (g/s),Air-Fuel Ratio (AFR),Ignition Timing (deg BTDC),Knock Retard Total (deg),HPFP Pressure (psi),LPFP Pressure (psi),Injector Duty Cycle (%),Wastegate Duty Cycle (%),Intake Air Temp (deg C),Engine Coolant Temp (deg C),Short Term Fuel Trim (%),Long Term Fuel Trim (%),Battery Voltage (V)
0.0,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.79
0.05,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.84
0.101,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.79
0.151,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.71
0.201,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.71
0.251,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.77
0.302,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.84
0.352,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.82
0.402,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.83
0.452,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.76
0.503,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.83
0.553,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.81
0.603,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.79
0.653,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.8
0.704,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.77
0.754,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.78
0.804,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.8
0.854,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.81
0.905,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.79
0.955,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.8
1.005,2000.0,0.0,100.0,9.7,15.52,20.0,36.0,0.0,2000.0,75.0,9.3,0.0,35.0,90.0,-26.5,4.5,13.74
1.055,2040.0,30.0,100.0,15.33,25.02,14.57,29.25,0.0,2000.0,75.0,15.0,24.0,35.0,90.0,0.66,4.5,13.81
1.106,2080.0,51.0,100.0,16.73,27.85,14.55,27.56,0.0,2000.0,75.0,16.7,40.8,35.0,90.0,0.75,4.5,13.9
1.156,2120.0,65.7,100.0,18.45,31.28,14.57,25.5,0.0,2000.0,75.0,18.8,52.6,35.0,90.0,0.66,4.5,13.83
1.206,2160.0,76.0,100.0,20.21,34.93,14.62,23.39,0.0,2000.0,75.0,21.0,60.8,35.0,90.0,0.4,4.5,13.79
1.256,2200.0,83.2,100.0,21.9,38.55,11.5,21.36,0.0,2690.0,68.0,23.1,66.6,35.0,90.0,16.0,4.5,13.75
1.307,2240.0,88.2,100.0,23.46,42.04,11.5,19.49,0.0,2688.0,68.0,25.2,70.6,35.0,90.0,16.0,4.5,13.83
1.357,2280.0,91.8,100.0,24.86,45.35,11.5,17.8,0.0,2686.0,68.0,27.2,73.4,35.0,90.0,16.0,4.5,13.79
1.407,2320.0,94.2,100.0,26.12,48.47,11.5,16.3,0.0,2684.0,68.0,29.1,75.4,35.0,90.0,16.0,4.5,13.8
1.457,2360.0,96.0,100.0,27.23,51.41,11.5,14.97,0.0,2682.0,68.0,30.8,76.8,35.0,90.0,16.0,4.5,13.82
1.508,2400.0,97.2,100.0,28.21,54.17,11.5,13.78,0.0,2680.0,68.0,32.5,77.7,35.0,90.0,16.0,4.5,13.74
1.558,2440.0,98.0,100.0,29.09,56.78,11.5,12.74,0.0,2678.0,68.0,34.1,78.4,35.0,90.0,16.0,4.5,13.81
1.608,2480.0,98.6,100.0,29.86,59.24,11.5,11.81,0.0,2676.0,68.0,35.5,78.9,35.0,90.0,16.0,4.5,13.73
1.658,2520.0,99.0,100.0,30.55,61.59,11.5,10.98,0.0,2674.0,68.0,37.0,79.2,35.0,90.0,16.0,4.5,13.71
1.709,2560.0,99.3,100.0,31.16,63.82,11.5,10.25,0.0,2672.0,68.0,38.3,79.5,35.0,90.0,16.0,4.5,13.8
1.759,2600.0,99.5,100.0,31.71,65.96,11.5,9.59,0.0,2670.0,68.0,39.6,79.6,35.0,90.0,16.0,4.5,13.9
1.809,2640.0,99.7,100.0,32.2,68.01,11.5,9.0,0.0,2668.0,68.0,40.8,79.7,35.0,90.0,16.0,4.5,13.74
1.859,2680.0,99.8,100.0,32.64,69.98,11.5,8.47,0.0,2666.0,68.0,42.0,79.8,35.0,90.0,16.0,4.5,13.75
1.91,2720.0,99.8,100.0,33.03,71.88,11.5,8.0,0.0,2664.0,68.0,43.1,79.9,35.0,90.0,16.0,4.5,13.78
1.96,2760.0,99.9,100.0,33.39,73.72,11.5,7.57,0.0,2662.0,68.0,44.2,79.9,35.0,90.0,16.0,4.5,13.81
2.01,2800.0,99.9,100.0,33.71,75.5,11.5,7.19,0.0,2660.0,68.0,45.3,79.9,35.0,90.0,16.0,4.5,13.73
2.06,2840.0,99.9,100.0,34.0,77.24,11.5,6.85,0.0,2658.0,68.0,46.3,80.0,35.0,90.0,16.0,4.5,13.72
2.111,2880.0,100.0,100.0,34.25,78.92,11.5,6.53,0.0,2656.0,68.0,47.4,80.0,35.0,90.0,16.0,4.5,13.71
2.161,2920.0,100.0,100.0,34.49,80.57,11.5,6.25,0.0,2654.0,68.0,48.3,80.0,35.0,90.0,16.0,4.5,13.87
2.211,2960.0,100.0,100.0,34.7,82.17,11.5,6.0,0.0,2652.0,68.0,49.3,80.0,35.0,90.0,16.0,4.5,13.83
2.261,3000.0,100.0,100.0,34.89,83.74,11.5,5.77,0.0,2650.0,68.0,50.2,80.0,35.0,90.0,16.0,4.5,13.8
2.312,3040.0,100.0,100.0,35.06,85.28,11.5,5.56,0.0,2648.0,68.0,51.2,80.0,35.0,90.0,16.0,4.5,13.87
2.362,3080.0,100.0,100.0,35.22,86.78,11.5,5.38,0.0,2646.0,68.0,52.1,80.0,35.0,90.0,16.0,4.5,13.72
2.412,3120.0,100.0,100.0,35.36,88.26,11.5,5.21,0.0,2644.0,68.0,53.0,80.0,35.0,90.0,16.0,4.5,13.83
2.462,3160.0,100.0,100.0,35.49,89.72,11.5,5.05,0.0,2642.0,68.0,53.8,80.0,35.0,90.0,16.0,4.5,13.82
2.513,3200.0,100.0,100.0,35.6,91.15,11.5,4.91,0.0,2640.0,68.0,54.7,80.0,35.0,90.0,16.0,4.5,13.85
2.563,3240.0,100.0,100.0,35.71,92.56,11.5,4.79,0.0,2638.0,68.0,55.5,80.0,35.0,90.0,16.0,4.5,13.81
2.613,3280.0,100.0,100.0,35.8,93.95,11.5,4.68,0.0,2636.0,68.0,56.4,80.0,35.0,90.0,16.0,4.5,13.92
