%DataLog%
Filename: SIM_02_Track_Day_HeatSoak.csv
Vehicle ID: SIM-TUNER-01
ECU Strategy: Stage-X-V2.4
--------------------------------------------------
Timestamp (s),Engine RPM,Throttle Position (%),Accelerator Pedal (%),Manifold Absolute Pressure (psi),Mass Air Flow (g/s),Air-Fuel Ratio (AFR),Ignition Timing (deg BTDC),Knock Retard Total (deg),HPFP Pressure (psi),LPFP Pressure (psi),Injector Duty Cycle (%),Wastegate Duty Cycle (%),Intake Air Temp (deg C),Engine Coolant Temp (deg C),Short Term Fuel Trim (%),Long Term Fuel Trim (%),Battery Voltage (V)
0.0,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.0,90.0,0.0,4.5,13.8
0.05,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.2,90.0,0.0,4.5,13.88
0.101,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.4,90.0,0.0,4.5,13.78
0.151,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.6,90.0,0.0,4.5,13.76
0.201,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,35.8,90.0,0.0,4.5,13.82
0.251,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,36.0,90.0,0.0,4.5,13.77
0.302,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,36.2,90.0,0.0,4.5,13.86
0.352,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,36.4,90.0,0.0,4.5,13.87
0.402,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,36.6,90.0,0.0,4.5,13.82
0.452,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,36.8,90.0,0.0,4.5,13.8
0.503,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,37.0,90.0,0.0,4.5,13.79
0.553,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,37.2,90.0,0.0,4.5,13.93
0.603,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,37.4,90.0,0.0,4.5,13.7
0.653,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,37.6,90.0,0.0,4.5,13.76
0.704,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,37.8,90.0,0.0,4.5,13.74
0.754,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,38.0,90.0,0.0,4.5,13.86
0.804,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,38.2,90.0,0.0,4.5,13.85
0.854,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,38.4,90.0,0.0,4.5,13.83
0.905,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,38.6,90.0,0.0,4.5,13.88
0.955,800.0,0.0,0.0,9.7,6.21,14.7,36.0,0.0,2000.0,75.0,3.7,0.0,38.8,90.0,0.0,4.5,13.82
