%DataLog%
Filename: STOCK_01_Clean_Pull.csv
Vehicle ID: SIM-STOCK-01ECU Strategy: OEM-FACTORY-V1.0
--------------------------------------------------
Timestamp (s),Engine RPM,Throttle Position (%),Accelerator Pedal (%),Manifold Absolute Pressure (psi),Mass Air Flow (g/s),Air-Fuel Ratio (AFR),Ignition Timing (deg BTDC),Knock Retard Total (deg),HPFP Pressure (psi),LPFP Pressure (psi),Injector Duty Cycle (%),Wastegate Duty Cycle (%),Intake Air Temp (deg C),Engine Coolant Temp (deg C),Short Term Fuel Trim (%),Long Term Fuel Trim (%),Battery Voltage (V)
0.0,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.83
0.05,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.8
0.101,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.82
0.151,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.82
0.201,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.82
0.251,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.88
0.302,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.79
0.352,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.8
0.402,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.85
0.452,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.82
0.503,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.84
0.553,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.81
0.603,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.78
0.653,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.82
0.704,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.79
0.754,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.79
0.804,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.78
0.854,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.74
0.905,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.77
0.955,800.0,0.0,0.0,9.7,6.21,14.7,31.0,0.0,2000.0,75.0,2.5,0.0,35.0,90.0,0.0,1.2,13.77
1.005,2000.0,0.0,100.0,9.7,15.52,20.0,31.0,0.0,2000.0,75.0,6.2,0.0,35.0,90.0,-26.5,1.2,13.81
1.055,2040.0,30.0,100.0,15.01,24.5,14.57,24.62,0.0,2000.0,75.0,9.8,15.0,35.0,90.0,0.66,1.2,13.8
1.106,2080.0,51.0,100.0,15.72,26.15,14.55,23.78,0.0,2000.0,75.0,10.5,25.5,35.0,90.0,0.75,1.2,13.86
