%DataLog%
Filename: STOCK_02_Daily_Commute.csv
Vehicle ID: SIM-STOCK-01ECU Strategy: OEM-FACTORY-V1.0
--------------------------------------------------
Timestamp (s),Engine RPM,Throttle Position (%),Accelerator Pedal (%),Manifold Absolute Pressure (psi),Mass Air Flow (g/s),Air-Fuel Ratio (AFR),Ignition Timing (deg BTDC),Knock Retard Total (deg),HPFP Pressure (psi),LPFP Pressure (psi),Injector Duty Cycle (%),Wastegate Duty Cycle (%),Intake Air Temp (deg C),Engine Coolant Temp (deg C),Short Term Fuel Trim (%),Long Term Fuel Trim (%),Battery Voltage (V)
0.0,2500.0,15.0,15.0,9.7,19.4,14.7,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.0,1.2,13.7
0.05,2500.0,15.0,15.0,9.7,19.42,14.7,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.0,1.2,13.77
0.101,2500.0,15.0,15.0,9.7,19.44,14.7,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.0,1.2,13.83
0.151,2500.0,15.0,15.0,9.7,19.46,14.7,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.0,1.2,13.8
0.201,2500.0,15.0,15.0,9.7,19.48,14.7,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.0,1.2,13.86
0.251,2510.0,15.0,15.0,9.7,19.5,14.7,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.0,1.2,13.8
0.302,2510.0,15.0,15.0,9.7,19.52,14.7,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.0,1.2,13.88
0.352,2510.0,15.0,15.0,9.7,19.53,14.7,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.0,1.2,13.81
0.402,2510.0,15.0,15.0,9.7,19.55,14.7,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.0,1.2,13.76
0.452,2520.0,15.0,15.0,9.7,19.57,14.7,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.0,1.2,13.69
0.503,2520.0,15.0,15.0,9.7,19.59,14.7,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.0,1.2,13.83
0.553,2520.0,15.0,15.0,9.7,19.6,14.7,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.0,1.2,13.78
0.603,2520.0,15.0,15.0,9.7,19.62,14.7,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.0,1.2,13.8
0.653,2530.0,15.0,15.0,9.7,19.64,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.82
0.704,2530.0,15.0,15.0,9.7,19.65,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.68
0.754,2530.0,15.0,15.0,9.7,19.67,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.78
0.804,2530.0,15.0,15.0,9.7,19.68,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.7
0.854,2530.0,15.0,15.0,9.7,19.69,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.78
0.905,2530.0,15.0,15.0,9.7,19.71,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.74
0.955,2540.0,15.0,15.0,9.7,19.72,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.86
1.005,2540.0,15.0,15.0,9.7,19.73,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.77
1.055,2540.0,15.0,15.0,9.7,19.74,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.79
1.106,2540.0,15.0,15.0,9.7,19.75,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.81
1.156,2540.0,15.0,15.0,9.7,19.76,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.89
1.206,2540.0,15.0,15.0,9.7,19.76,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.75
1.256,2540.0,15.0,15.0,9.7,19.77,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.72
1.307,2540.0,15.0,15.0,9.7,19.77,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.83
1.357,2540.0,15.0,15.0,9.7,19.78,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.82
1.407,2540.0,15.0,15.0,9.7,19.78,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.76
1.457,2540.0,15.0,15.0,9.7,19.79,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.8
1.508,2540.0,15.0,15.0,9.7,19.79,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.79
1.558,2540.0,15.0,15.0,9.7,19.79,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.8
1.608,2540.0,15.0,15.0,9.7,19.79,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.92
1.658,2540.0,15.0,15.0,9.7,19.79,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.84
1.709,2540.0,15.0,15.0,9.7,19.78,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.8
1.759,2540.0,15.0,15.0,9.7,19.78,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.82
1.809,2540.0,15.0,15.0,9.7,19.78,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.82
1.859,2540.0,15.0,15.0,9.7,19.77,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.89
1.91,2540.0,15.0,15.0,9.7,19.77,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.77
1.96,2540.0,15.0,15.0,9.7,19.76,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.79
2.01,2540.0,15.0,15.0,9.7,19.75,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.74
2.06,2540.0,15.0,15.0,9.7,19.74,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.83
2.111,2540.0,15.0,15.0,9.7,19.73,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.79
2.161,2540.0,15.0,15.0,9.7,19.72,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.8
2.211,2540.0,15.0,15.0,9.7,19.71,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.77
2.261,2530.0,15.0,15.0,9.7,19.7,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.89
2.312,2530.0,15.0,15.0,9.7,19.69,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.79
2.362,2530.0,15.0,15.0,9.7,19.67,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.81
2.412,2530.0,15.0,15.0,9.7,19.66,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.8
2.462,2530.0,15.0,15.0,9.7,19.64,14.7,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.0,1.2,13.77
2.513,2520.0,15.0,15.0,9.7,19.63,14.68,31.0,0.0,2000.0,75.0,7.9,7.5,35.0,90.0,0.1,1.2,13.75
2.563,2520.0,15.0,15.0,9.7,19.61,14.75,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,-0.27,1.2,13.72
2.613,2520.0,15.0,15.0,9.7,19.6,14.81,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,-0.57,1.2,13.79
2.663,2520.0,15.0,15.0,9.7,19.58,14.85,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,-0.73,1.2,13.9
2.714,2520.0,15.0,15.0,9.7,19.56,14.84,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,-0.72,1.2,13.81
2.764,2510.0,15.0,15.0,9.7,19.54,14.8,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,-0.52,1.2,13.81
2.814,2510.0,15.0,15.0,9.7,19.52,14.74,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,-0.2,1.2,13.7
2.864,2510.0,15.0,15.0,9.7,19.51,14.67,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.17,1.2,13.84
2.915,2510.0,15.0,15.0,9.7,19.49,14.6,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.5,1.2,13.76
2.965,2500.0,15.0,15.0,9.7,19.47,14.56,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.71,1.2,13.78
3.015,2500.0,15.0,15.0,9.7,19.45,14.55,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.74,1.2,13.72
3.065,2500.0,15.0,15.0,9.7,19.43,14.58,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.59,1.2,13.77
3.116,2500.0,15.0,15.0,9.7,19.41,14.64,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,0.3,1.2,13.86
3.166,2490.0,15.0,15.0,9.7,19.39,14.71,31.0,0.0,2000.0,75.0,7.8,7.5,35.0,90.0,-0.06,1.2,13.78
3.216,2490.0,15.0,15.0,9.7,19.37,14.78,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,-0.41,1.2,13.76
3.266,2490.0,15.0,15.0,9.7,19.35,14.83,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,-0.66,1.2,13.7
3.317,2490.0,15.0,15.0,9.7,19.33,14.85,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,-0.75,1.2,13.8
3.367,2480.0,15.0,15.0,9.7,19.31,14.83,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,-0.65,1.2,13.79
3.417,2480.0,15.0,15.0,9.7,19.29,14.78,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,-0.4,1.2,13.76
3.467,2480.0,15.0,15.0,9.7,19.28,14.71,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,-0.04,1.2,13.84
3.518,2480.0,15.0,15.0,9.7,19.26,14.64,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,0.32,1.2,13.83
3.568,2470.0,15.0,15.0,9.7,19.24,14.58,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,0.61,1.2,13.83
3.618,2470.0,15.0,15.0,9.7,19.22,14.55,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,0.74,1.2,13.75
3.668,2470.0,15.0,15.0,9.7,19.2,14.56,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,0.7,1.2,13.81
3.719,2470.0,15.0,15.0,9.7,19.19,14.6,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,0.48,1.2,13.74
3.769,2470.0,15.0,15.0,9.7,19.17,14.67,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,0.15,1.2,13.77
3.819,2460.0,15.0,15.0,9.7,19.16,14.74,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,-0.22,1.2,13.83
3.869,2460.0,15.0,15.0,9.7,19.14,14.81,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,-0.54,1.2,13.74
3.92,2460.0,15.0,15.0,9.7,19.13,14.84,31.0,0.0,2000.0,75.0,7.7,7.5,35.0,90.0,-0.72,1.2,13.79
3.97,2460.0,15.0,15.0,9.7,19.11,14.85,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.73,1.2,13.88
4.02,2460.0,15.0,15.0,9.7,19.1,14.81,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.56,1.2,13.79
4.07,2450.0,15.0,15.0,9.7,19.09,14.75,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.25,1.2,13.73
4.121,2450.0,15.0,15.0,9.7,19.08,14.68,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,0.12,1.2,13.79
4.171,2450.0,15.0,15.0,9.7,19.07,14.61,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,0.46,1.2,13.76
4.221,2450.0,15.0,15.0,9.7,19.06,14.56,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,0.69,1.2,13.86
4.271,2450.0,15.0,15.0,9.7,19.05,14.55,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,0.75,1.2,13.81
4.322,2450.0,15.0,15.0,9.7,19.04,14.58,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,0.62,1.2,13.76
4.372,2450.0,15.0,15.0,9.7,19.03,14.63,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,0.35,1.2,13.74
4.422,2450.0,15.0,15.0,9.7,19.03,14.7,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.01,1.2,13.8
4.472,2450.0,15.0,15.0,9.7,19.02,14.77,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.37,1.2,13.84
4.523,2450.0,15.0,15.0,9.7,19.02,14.83,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.64,1.2,13.8
4.573,2450.0,15.0,15.0,9.7,19.02,14.85,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.75,1.2,13.89
4.623,2450.0,15.0,15.0,9.7,19.01,14.84,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.68,1.2,13.88
4.673,2450.0,15.0,15.0,9.7,19.01,14.79,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.44,1.2,13.89
4.724,2450.0,15.0,15.0,9.7,19.01,14.72,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.09,1.2,13.77
4.774,2450.0,15.0,15.0,9.7,19.01,14.64,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,0.28,1.2,13.88
4.824,2450.0,15.0,15.0,9.7,19.01,14.58,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,0.58,1.2,13.85
4.874,2450.0,15.0,15.0,9.7,19.02,14.55,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,0.74,1.2,13.72
4.925,2450.0,15.0,15.0,9.7,19.02,14.56,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,0.72,1.2,13.87
4.975,2450.0,15.0,15.0,9.7,19.03,14.6,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,0.52,1.2,13.91
5.025,2450.0,15.0,15.0,9.7,19.03,14.66,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,0.2,1.2,13.86
5.075,2450.0,15.0,15.0,9.7,19.04,14.73,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.17,1.2,13.77
5.126,2450.0,15.0,15.0,9.7,19.04,14.8,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.5,1.2,13.76
5.176,2450.0,15.0,15.0,9.7,19.05,14.84,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.71,1.2,13.8
5.226,2450.0,15.0,15.0,9.7,19.06,14.85,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.74,1.2,13.92
5.276,2450.0,15.0,15.0,9.7,19.07,14.82,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.59,1.2,13.87
5.327,2450.0,15.0,15.0,9.7,19.08,14.76,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,-0.3,1.2,13.83
5.377,2460.0,15.0,15.0,9.7,19.09,14.69,31.0,0.0,2000.0,75.0,7.6,7.5,35.0,90.0,0.07,1.2,13.74
