%DataLog%
Filename: STOCK_03_Kickdown_Pass.csv
Vehicle ID: SIM-STOCK-01ECU Strategy: OEM-FACTORY-V1.0
--------------------------------------------------
Timestamp (s),Engine RPM,Throttle Position (%),Accelerator Pedal (%),Manifold Absolute Pressure (psi),Mass Air Flow (g/s),Air-Fuel Ratio (AFR),Ignition Timing (deg BTDC),Knock Retard Total (deg),HPFP Pressure (psi),LPFP Pressure (psi),Injector Duty Cycle (%),Wastegate Duty Cycle (%),Intake Air Temp (deg C),Engine Coolant Temp (deg C),Short Term Fuel Trim (%),Long Term Fuel Trim (%),Battery Voltage (V)
0.0,2500.0,20.0,20.0,9.7,19.4,14.7,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,0.0,1.2,13.82
0.05,2500.0,20.0,20.0,9.7,19.4,14.77,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,-0.36,1.2,13.8
0.101,2500.0,20.0,20.0,9.7,19.4,14.83,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,-0.63,1.2,13.67
0.151,2500.0,20.0,20.0,9.7,19.4,14.85,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,-0.75,1.2,13.83
0.201,2500.0,20.0,20.0,9.7,19.4,14.84,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,-0.68,1.2,13.75
0.251,2500.0,20.0,20.0,9.7,19.4,14.79,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,-0.45,1.2,13.89
0.302,2500.0,20.0,20.0,9.7,19.4,14.72,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,-0.11,1.2,13.75
0.352,2500.0,20.0,20.0,9.7,19.4,14.65,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,0.26,1.2,13.72
0.402,2500.0,20.0,20.0,9.7,19.4,14.59,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,0.57,1.2,13.87
0.452,2500.0,20.0,20.0,9.7,19.4,14.55,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,0.73,1.2,13.77
0.503,2500.0,20.0,20.0,9.7,19.4,14.56,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,0.72,1.2,13.75
0.553,2500.0,20.0,20.0,9.7,19.4,14.59,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,0.53,1.2,13.76
0.603,2500.0,20.0,20.0,9.7,19.4,14.66,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,0.21,1.2,13.77
0.653,2500.0,20.0,20.0,9.7,19.4,14.73,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,-0.16,1.2,13.8
0.704,2500.0,20.0,20.0,9.7,19.4,14.8,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,-0.49,1.2,13.79
0.754,2500.0,20.0,20.0,9.7,19.4,14.84,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,-0.7,1.2,13.81
0.804,2500.0,20.0,20.0,9.7,19.4,14.85,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,-0.74,1.2,13.78
0.854,2500.0,20.0,20.0,9.7,19.4,14.82,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,-0.6,1.2,13.82
0.905,2500.0,20.0,20.0,9.7,19.4,14.76,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,-0.31,1.2,13.89
0.955,2500.0,20.0,20.0,9.7,19.4,14.69,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,0.06,1.2,13.88
1.005,2500.0,20.0,20.0,9.7,19.4,14.62,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,0.41,1.2,13.7
1.055,2500.0,20.0,20.0,9.7,19.4,14.57,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,0.66,1.2,13.84
1.106,2500.0,20.0,20.0,9.7,19.4,14.55,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,0.75,1.2,13.79
1.156,2500.0,20.0,20.0,9.7,19.4,14.57,31.0,0.0,2000.0,75.0,7.8,10.0,35.0,90.0,0.66,1.2,13.76
