timestamps,CAN_DataFrame.CAN_DataFrame.BusChannel,CAN_DataFrame.CAN_DataFrame.ID,CAN_DataFrame.CAN_DataFrame.IDE,CAN_DataFrame.CAN_DataFrame.DLC,CAN_DataFrame.CAN_DataFrame.DataLength,CAN_DataFrame.CAN_DataFrame.DataBytes,CAN_DataFrame.CAN_DataFrame.Dir,CAN_DataFrame.CAN_DataFrame.EDL,CAN_DataFrame.CAN_DataFrame.BRS
1.2803,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
1.3803,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
1.4803000000000002,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
1.5803,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
1.6803000000000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
1.7371,1,401604624,1,8,8,[32 16  0  0  0  0  0  0],0,0,0
1.7803000000000002,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
1.8803,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
1.9803000000000002,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
2.08035,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
2.1803500000000002,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
2.23715,1,401604624,1,8,8,[32 16  0  0  0  0  0  0],0,0,0
2.2803500000000003,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
2.38035,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
2.4804,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
2.5804,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
2.6804,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
2.73715,1,401604624,1,8,8,[32 16  0  0  0  0  0  0],0,0,0
2.7804,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
2.88035,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
2.9804000000000004,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
3.0804,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
3.1804,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
3.2372,1,401604624,1,8,8,[32 16  0  0  0  0  0  0],0,0,0
3.28045,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
3.38045,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
3.4804500000000003,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
3.5804500000000004,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
3.6804500000000004,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
3.7372,1,401604624,1,8,8,[32 16  0  0  0  0  0  0],0,0,0
3.78045,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
3.88045,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
3.9804500000000003,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
4.080500000000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
4.1805,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
4.23725,1,401604624,1,8,8,[32 16  0  0  0  0  0  0],0,0,0
